ZIP,BLDGNO1,STREET1,STSUFX1,BLDGNO2,STREET2 STSUFX2,,CITY,COUNTY STATUS1,STATUS2,STATUS3,BLOCK,LOT
10002,21,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,300,27
10002,29,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,300,23
10002,30,ALLEN,ST,31,ORCHARD,ST,NEW YORK,62 MULTIPLE DWELLING A,,,299,24
10002,32,ALLEN,ST,33,ORCHARD,ST,NEW YORK,62 MULTIPLE DWELLING A,,,299,23
10002,35,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,300,20
10002,37,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,300,19
10002,37 1/2,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,300,18
10002,38,ALLEN,ST,74,HESTER,ST,NEW YORK,62 MULTIPLE DWELLING A,,,299,18
10002,46,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,308,24
10002,50,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,308,22
10002,52,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,308,21
10002,79,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING B,,,413,19
10002,81,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,413,18
10002,83,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,GARDEN COMPLEX,,413,17
10002,91,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,414,25
10002,92,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,414,62
10002,93,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,414,24
10002,95,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,414,23
10002,97,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,414,22
10002,99,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,414,21
10002,103,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,414,19
10002,123,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,415,35
ZIP,BLDGNO1,STREET1,STSUFX1,BLDGNO2,STREET2,STSUFX2,CITY,COUNTY STATUS1,STATUS2,STATUS3,BLOCK,LOT
10002,125,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,415,33
10002,127,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,415,32
10002,128,ALLEN,ST,129,ORCHARD,ST,NEW YORK,62 MULTIPLE DWELLING A,,,415,72
10002,129,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,415,31
10002,132,ALLEN,ST,133,ORCHARD,ST,NEW YORK,62 MULTIPLE DWELLING A,,,415,70
10002,137,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,415,25
10002,151 TO 153,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,416,7501
10002,156,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,416,65
10002,157 TO 159,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,416,27
10002,158,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,416,64
10002,160,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,416,63
10002,161,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,GARDEN COMPLEX,,416,25
10002,162,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,416,62
10002,163,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,416,24
10002,164,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,416,61
10002,166,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,416,59
10002,170,ALLEN,ST,165,ORCHARD,ST,NEW YORK,62 MULTIPLE DWELLING A,,,416,57
10002,201,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,417,19
10002,205,ALLEN,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,417,18
10002,168 TO 170,ATTORNEY,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,GARDEN COMPLEX,ARTICLES 14 & 15,345,9
10002,172,ATTORNEY,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,345,10
10002,81,BOWERY,,,,,NEW YORK,62 MULTIPLE DWELLING A,,,303,9
10002,83,BOWERY,,,,,NEW YORK,62 MULTIPLE DWELLING A,,,303,10
10002,85,BOWERY,,,,,NEW YORK,62 MULTIPLE DWELLING A,,,303,11
10002,131,BOWERY,,,,,NEW YORK,62 MULTIPLE DWELLING A,,,423,2
10002,180,BROOME,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,421-A (1-15),,346,7502
10002,212,BROOME,ST,115129,DELANCEY,ST,NEW YORK,62 MULTIPLE DWELLING A,SECTION 610 OF PHFL,,352,7501
10002,245,BROOME,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,408,14
10002,247,BROOME,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,408,13
10002,248,BROOME,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,409,27
10002,249,BROOME,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,408,11
10002,250,BROOME,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,409,29
10002,252,BROOME,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,409,31
10002,253 TO 257,BROOME,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,408,10
10002,254,BROOME,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,409,33
10002,261,BROOME,ST,8589,ORCHARD,ST,NEW YORK,62 MULTIPLE DWELLING A,,,413,43
10002,262,BROOME,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,414,59
10002,264,BROOME,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,414,61
10002,275,BROOME,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,413,14
10002,279,BROOME,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,413,12
10002,282,BROOME,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,414,28
10002,286,BROOME,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,GARDEN COMPLEX,,414,30
10002,288,BROOME,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,,,414,31
10002,294,BROOME,ST,,,,NEW YORK,62 MULTIPLE DWELLING A,421-A (1-15),,419,72
