zipcode,total_units,stabilized_units,stabilized_buildings,total_buildings,stabilization_share
11415,9105.0,6283.0,92,1198,0.6900604063701263
11416,7235.0,262.0,40,3529,0.03621285418106427
11417,9607.0,365.0,32,5437,0.037993130009368166
11418,11825.0,2661.0,98,4744,0.22503171247357293
11419,12382.0,546.0,48,7180,0.04409626877725731
11420,13509.0,218.0,7,8906,0.016137389888222668
11421,12187.0,1103.0,37,6038,0.09050627718060228
11422,9737.0,20.0,1,6407,0.002054020745609531
11423,10285.0,2034.0,42,4987,0.1977637335926106
11426,6405.0,624.0,3,4301,0.09742388758782201
11427,7737.0,1611.0,22,4159,0.20822024040325707
11428,5743.0,525.0,16,4187,0.09141563642695455
11429,7284.0,207.0,5,5508,0.02841845140032949
11432,22890.0,11560.0,221,6065,0.5050240279598078
11433,11864.0,933.0,54,5586,0.07864126770060688
11434,22161.0,926.0,15,9877,0.04178511800009025
11435,22841.0,11210.0,167,5485,0.49078411628212426
11436,6650.0,4.0,1,4246,0.0006015037593984962
11691,24882.0,9036.0,156,5608,0.3631540872920183
11692,8348.0,83.0,16,2083,0.009942501197891711
11693,4727.0,340.0,48,1526,0.0719272265707637
11694,9553.0,1423.0,29,3513,0.1489584423741233
11697,2837.0,0.0,0,3,0.0
12345,21.0,3.0,1,5,0.14285714285714285
